grupo,cantidad,ruta_relativa,nombre,sha256
1,10,CKD FIAT/Politica.Calidad (4).pdf,Politica.Calidad (4).pdf,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
1,10,Comercial/Politica.Calidad (4).pdf,Politica.Calidad (4).pdf,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
1,10,Compras DADA/Politica.Calidad (4).pdf,Politica.Calidad (4).pdf,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
1,10,General/Politica.Calidad.pdf,Politica.Calidad.pdf,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
1,10,Paragolpes CBA/Politica.Calidad (4).pdf,Politica.Calidad (4).pdf,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
1,10,Proyectos-Procesos/Politica.Calidad (4).pdf,Politica.Calidad (4).pdf,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
1,10,RRHH/Politica.Calidad (4).pdf,Politica.Calidad (4).pdf,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
1,10,Ruedas/En vigor/Politica/Politica.Calidad (4).pdf,Politica.Calidad (4).pdf,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
1,10,Tráfico/Politica.Calidad (4).pdf,Politica.Calidad (4).pdf,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
1,10,Tráfico - Contrataciones/Politica.Calidad (4).pdf,Politica.Calidad (4).pdf,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
2,2,Calidad/Auditorias internas 2025/FG-05 Plan anual de Auditoria 2025 ISO.xlsx,FG-05 Plan anual de Auditoria 2025 ISO.xlsx,ae4a98725db1a3e842422161feeb169c284a1722acd0390b042f950a8f65be83
2,2,Ruedas/En vigor/Auditorias/2025/FG-05 Plan anual de Auditoria 2025 .xlsx,FG-05 Plan anual de Auditoria 2025 .xlsx,ae4a98725db1a3e842422161feeb169c284a1722acd0390b042f950a8f65be83
3,2,Calidad/Auditorias internas 2025/FG-09 Informe de Auditoria Interna COMPRAS.xlsx,FG-09 Informe de Auditoria Interna COMPRAS.xlsx,15d497babe45b1d4602bca36a093a109a6c472c41788738aa131939c21bec689
3,2,Ruedas/En vigor/Auditorias/2025/FG-09 Informe de Auditoria Interna COMPRAS.xlsx,FG-09 Informe de Auditoria Interna COMPRAS.xlsx,15d497babe45b1d4602bca36a093a109a6c472c41788738aa131939c21bec689
